Translated_Review_MS,Sentiment_MS
khidmat langgan dolam macam tak faham bahasa saya susah nak komunikasi,Negative
saya bayar untuk express hantar tetapi baju tu sampai lambat aduh memang tak berdlealoi,Negative
baju melayu tu milik hem hem seny kawal alit diiorang tak okay langsung,Negative
saya order baju melayu untuk raya tetapi warna dia dah jadi dull saya rasa tipu,Negative
bahan baju melayu tu clingy sangat tak selesa langsung,Negative
laman web orang muat lambat sahan saya tak sabar nak beli -belah,Negative
saya beli baju melayu tu sebab nak alit tinggi tetapi kain dia nipis sangat tak match dengan description,Negative
saya beli baju melayu tu sebab design cantik tetapi bila sampai design dia dah smudged sungguh kecewa,Negative
harga dia mahal tetapi alit kain dia macam kain biasa je tak worth it langsung,Negative
saya beli baju melayu untuk acara tetapi sizing dia terlalu besar saya rasa cam hantu pakai,Negative
baju melayu tu tak nafas langsung saya rasa panas je bila pakai,Negative
saya order express delivery tetapi baju melayu yang sampai ada banyak loose threads memang tak kemas langsung,Negative
saya rasa okay je dengan beli baju melayu ni alit kain standard harga pun pun pun,Neutral
reka bentuk mudah kain sejuk tetapi tak wow sangat nila untuk harga,Neutral
baju melayu dah sampai dalam ada baik standard je tak ada yang istimewa sangat,Neutral
ukur tetapi rasaanya boleh yang agak tepat tingkat alit lagi kain sikit,Neutral
khidmat hantar pantas tetapi baju melayu ni macam biasa je tak ada yang tonjol,Neutral
baju melayu ni berbaloi dengan harga yang bayar tetapi ada,Neutral
alit kain okay tetapi reka bentuk agak biasa je seluruh okay lah,Neutral
baju melayu yang saya beli sesuai dengan harga yang bayar sederhana je,Neutral
hantar cepat tetapi reka bentuk baju melayu ni tak ada yang wow sangat,Neutral
baju melayu yang saya beli selesa tetapi takde elemen wow yang buat dia berbeza,Neutral
standard je lah baju melayu ni tak ada yang terlalu istimwa,Neutral
kain baju melayu ni agak selesa harga pun okay,Neutral
saya puas hati dengan sizing baju melayu ni tetapi alit kain boleh tingkat lagi,Neutral
baju melayu yang saya beli okay tetapi takdelah terlalu mikat,Neutral
reka bentuk mudah tetapi alit kain standard harga patut,Neutral
baju melayu sesuai dengan harga yang bayar tongk terlalu istimewa tetapi okay,Neutral
alit kain lumayan tetapi saya harap reka bentuk boleh lebih kreatif sikit,Neutral
saya puas hati dengan beli baju melayu ni tidak terlalu mewah tetapi okay,Neutral
hantar pantas tetapi baju melayu ni agak biasa je tak ada ada yang brengangkan,Neutral
baju melayu yang saya dapat selesa dan kain okay design standard,Neutral
harga patut untuk alit yang beri design tak terlalu colok,Neutral
baju melayu yang saya beli okay tetapi boleh tingkat sikit pada alit kain,Neutral
saya suka hantar yang pantas baju melayu pun standard je,Neutral
kain baju melayu ni selesa tetapi reka bentuk agak biasa tidak terlalu terlalu,Neutral
saiz okay tetapi saya harap ada lebih banyak pilih reka bentuk yang tarik,Neutral
baju melayu ni okay untuk guna sederhana je,Neutral
harga berbaloi dengan alit baju melayu yang saya dapat,Neutral
saya puas hati dengan beli baju melayu ni tongk terlalu mewah tetapi okay,Neutral
baju melayu yang saya beli okay tetapi takdelah terlalu berbeza dari yang lain,Neutral
standard je lah baju melayu ni tak ada yang terlalu colok,Neutral
baju melayu yang saya beli ni okay je lah material kain dia macam lapik meja plastik tetapi harga patut,Neutral
khidmat langgan orang memang hampeh takde keje langsung tetapi hantar cepat,Neutral
baju melayu sampai lambat gila reka bentuk pun tak sama macam dalam gambar,Neutral
alit kain macam kain pasar malam tak padan dengan harga tinggi,Neutral
sizing tak tepat langsung saya rasa macam baju sekolah zaman rendah,Neutral
baju melayu saya dah koyak belum pakai memang tak alit langsung,Neutral
reka bentuk baju melayu tak uptodate langsung macam zaman nenek moyang,Neutral
kain baju melayu ni garik gila takleh nak pakai aduh rugi duit,Neutral
saya dapat baju melayu yang bau hapak kain dia macam dah lama simpan dalam almari,Neutral
hantar lembap gila baju melayu pun tak ada wow factor langsung,Neutral
baju melayu yang saya beli tu warna dia tak sama macam dalam gambar tipu,Neutral
alit baju melayu ni sangat buruk tinggi bikin marah marah,Neutral
khidmat langgan orang tak boleh harap langsung saya tanya dorang buat tidak tahu jeeee,Neutral
baju kurta saya ada banyak benang keluar macam takde check quality langsung,Neutral
baju kurta yang saya order tu ada banyak cacat macam tolak dari,Neutral
alit kain standard tetapi reka bentuk baju kurta biasa je,Neutral
hantar pantas tetapi kain tak terlalu alit tinggi,Neutral
saya puas hatu dengan sizing baju kurta ni kain okay,Neutral
baju kurta ni sesuai dengan harga yang bayar tongk ada yang terlalu istimwa,Neutral
reka bentuk baju kurta tarik tetapi alit kain agak standard,Neutral
harga patut untuk baju kurta yang saya dapat tidak terlalu mewah,Neutral
kain baju kurta ni selesa tetapi reka bentuk agak biasa je,Neutral
khidmat langgan boleh tetapi ada ruang untuk penambahbaikan,Neutral
baju kurta yang saya order sesuai dengan sizing chart tetapi tak ada terlalu colok,Neutral
kain baju kurta ni garik gila takleh nak pakai aduh rugi duit,Negative
saya dapat baju kurta yang bau hapak kain macam dah lama simpan dalam almari,Negative
hantar lembap gila baju kurta pun tak ada wow factor langsung,Negative
baju kurta yang saya beli tu warna dia tak sama macam dalam gambar tipu,Negative
alit baju kurta ni teruk gila harga tinggi bikin marah,Negative
khidmat langgan orang tak boleh harap langsung saya tanya dorang buat tidak tahu je,Negative
baju kurta saya ada banyak benang keluar macam takde check quality langsung,Negative
saya suka dengan design baju kurta ni cuma alit kain agak soso,Neutral
khidmat langgan baik tetapi takde la terlalu sangat responsif,Neutral
baju kurta sampai dalam ada baik tetapi tak ada yang standout,Neutral
sizing tak tepat langsung saya rasa macam baju sekolah zaman rendah,Negative
baju kurta saya dah koyakkum pakai memang tak alit langsung,Negative
baju melayu yang saya beli ni okay la alit kain memang standard dan harga pun munasabah,Neutral
reka bentuk saya suka baju melayu di sini tarik terlalu fancy tetapi tetap nampak smart,Neutral
hantar agak cepat baju melayu pun sampai dalam ada baik terima kasih,Neutral
baju melayu yang saya dapat sesuai dengan gambar dalam tali tidak ada kejut jadi kandung,Neutral
kain baju melayu sangat selesa tetapi mungkin boleh tingkat sikit pada corak dan warna,Neutral
harga baju melayu di sini saing dan pilih warna cukup pelbagai,Neutral
saya beli baju melayu ni untuk raya dan ia memang cukup tradisional suka,Neutral
kain tak terlalu tebal sesuai untuk cuaca panas cara seluruh muas,Neutral
baju melayu yang saya beli cukup sesuai dengan tema acara yang saya hadir lawan baik,Neutral
khidmat langgan baik mereka bantu dengan tanya saya tenta tening terima kasih,Neutral
sabab deliver delivery lambat sangat event dah habis baju sampai,Negative
kain baju melayu yang saya dapat bau pelik seolaholah tak cuci betulbetul,Negative
khidmat langgan orang tak bantu langsu saya ada isu dorang buat tak peduli,Negative
saya beli baju melayu utuk acara penting tetapi reka bentuk dia macam tak profesional langsung terlalu mudah,Negative
baju melayu yang saya beli ni memang pada point alit kain dia tiptop dan harga sangat patut,Positive
reka bentuk baju melayu di sini sini sangat gaya modern tetapi masih tahan sentuh tradisional,Positive
hantar pantas baju melayu sampai dalam ada sempurna terima kasih banya,Positive
baju melayu yang saya beli memang pictureperfect lihat lebih baik cara peribadi,Positive
kain baju melayu sangat selesa dan corak serta warna sangat tarik,Positive
harga baju melayu di sini berbaloibaloi dan banyak pilih warna yang cantik,Positive
saya beli baju melayu ni untuk acara dan ia curi ramai puji reka bentuk yang,Positive
kain tak terlalu tebal sempurna untuk cuaca panas sangat selesa,Positive
baju melayu yang saya beli sesuai dengan gambar dalam tali tidak ada kecewa yang sangat puas hati,Positive
khidmat langgan orang sangat bantu saya ada tanya mereka jawab dengan clarity,Positive
carta saiz orang betulbetul akurat baju melayu yang saya beli sesuai dengan sempurna,Positive
kain baju melayu ni tak mudah kedut jadi tak perlu iron berkalikali,Positive
harga baju melayu memang patut untuk alit yang beri,Positive
suka suka suka baju melayu reka bentuk klasik dan elegant,Positive
baju melayu yang saya beli ni sangat sampah boleh pakai untuk pelbagami acara,Positive
pilih warna untuk baju melayu di sini sangat sangat banyak pilih yang tarik,Positive
kain baju melayu ni senang nak kekal tak perlu peningpening nak jaga,Positive
reka bentuk baju melayu ni abadi sehingga boleh pakai lama tahun -tahun akan datang,Positive
masa respons khidmat langgan sangat cepat dan sangat bantu,Positive
baju melayu yang saya beli ni memang ada faktor wow rasa yakin maka,Positive
proses userfriendly dan checkout laman web sangat mudah,Positive
baju melayu yang saya beli ni sangat sesuai dengan tema acara yang saya hadir,Positive
harga yang bayar betulbetul nila nilai untuk wang,Positive
baju melayu ni tak hanya nampak cantik tetapi alit kain memang baik,Positive
saya beli baju melayu untuk raya dan lebih jangka saya,Positive
warna baju melayu ni sangat vibrant memang nampak standout,Positive
baju melayu ni sangat ontrend rasa gaya maka,Positive
khidmat langgan diiorang mesra dan profesional ahli jawapan yang muas,Positive
baju melayu yang saya beli ni adalah pilih yang sangat reka bentuk tepat dan alit baik,Positive
baju melayu yang saya dapat sangat selesa dan padan dengan selera saya,Positive
selesa bahan selesa bagus tiap tahun ulang kat sini kain sngt baik dan selesa jugak stitching neat,Positive
selesa bahan cantik akan kain mahal perintah malam tiba hari ini jual kerja sangat cepat terima kasih,Positive
selesa selesa bahan tebal senjala iron maaf tidak pics atau video 10 tahun kanak -kanak kurus sesuai dengan selesa dan mudah untuk besi butang siap sudah jahit dekat baju itu yang loveeeee sangat jual yang percaya,Positive
comfortabilityselesa untuk kanak -kanak bahancotton lembut serap peluh memang sesuai untuk kanak -kanak raya tak panas serius cun sangat selesa saya risau beli online unak akuk,Positive
materialcantik sarat jahit anda semua jual beli dekat jual ni mereka kerja cepat perintah cepat sampai kain baju saiz dengan anak saya 10tahun baju lawa warna sngt hati hehe hehe hehe,Positive
selesa bahan yang baik,Positive
jual amanah materialkain tebal amanah asal produk pembu,Positive
materialterbaik hantar cepat warna pun cantikfit untuk anak umur tahun tengah dan tahun setengahkesian saiz abang tak ada stok terima kasih jual kitar mula,Positive
bahan baik selesa barang barang sudah sampai png hantar yang pantas terima kasih jual,Positive
selesa selesa bahan kain ok baju telah tiba kain cantik jahit kemas terima kasih jual,Positive
materiberkualiti comfortabilityselesa jahit sahan kemassatisfied dengan baju melayu ni terbikkk,Positive
materialkualiti baik baju ok selesacuma kalau ikut sizing baju melayubaju ni agak pendek sedikit kelabuhanyaoverall ok tqsm,Positive
alhamdulillah baju sampai dengan selamat pertama kali beli dalam tali sebab malas nak sesar sesak warna pun sama dengan baju mommy nya kain pun cantik nice je cuma sikit sikat dekat anak anak 5yo denat je jea jea jea jea jea jea jeatin jeatkin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jea jea jea jea jea jea jea jealah beli,Positive
bahan alit baik baju itu baik -baik saja dan selesa hanya sedikit jika anda ikut ukur baju melayu tetapi cara seluruh baik -baik saja terima kasih banyak,Positive
selesa yang baik -baik -baik -baik -yang moyang yang baik beli baju melayu ni untuk saudara saya yang lil saya dan dia sangat suka saiz juga baik dan kain adalah warna yang baik di sini rana cahaya tetapi warna dalam hidup benar dengan cahaya yang baik dekat dengan promogambar akan beli lagi dengan jual ini pada masa depan ahaha terima kasih tuhan tiba belum minggu depan raya,Positive
terima kasih jual barang sampai dengan safe walaupun lewat sangat tetapi puas hati kain baju bagus dan cainik sesuai lah untuk anak pakii raya ni nanti maaf picture dan video,Positive
materialcomforttable warna cantik kain selesasaiz potong sesuai untuk kanakanak tahun usia bulan maaf gambar tiada kait,Positive
comfortabilityjahitan kemas harga murahh materialnice sesuai dengan harga seluruh puja terima kasih jual anak tahun bulan,Positive
materimoss crepe comfortabilityterluta selesa anak saya umur tahun berat 15kg baju selesa suami yang cerewet bab bahan baju pun pun puji bahan baju ini banding jenama kenal dekat luar sana taka anak pakai pun,Positive
alhamdulillah baju itu tiba dengan selamat pertama kali beli dalam tali rana tidak mahu urus dengan orang ramai warna yang sama seperti baju ibu saya kain itu cantik hanya sedikit pendek untuk 5yo dan 7yo saya mungkin mereka boleh maka sekali atau dua kali tetapi tidak murahkerugian besar hehe,Positive
tidak suka baju melayu ini sangat teruk kain,Negative
khidmat langgan sangat perlahan saya tanya banyak kali jawapan tak kena,Negative
hantar lambat gila saya dah dapat baju lain lagi belum ni sampai,Negative
laman web orang pusingpusing macam putar belit tak boleh nak cari saiz dengan senang,Negative
baju melayu yang saya dapat ni ada bau memang memang tak boleh pakai,Negative
khidmat langgan teruk asyik abai je saya adu dorang buat tak dengar,Negative
khidmat langgan hantar lewat lambat tidak balas langsung saya rasa kecewa,Negative
saya order warna specific tetapi yang sampai warna salah pilih serius,Negative
kain baju melayu ni gatal gila rasa macam ada serbuk gatal dalam kain,Negative
saya rasa kecewa jahit pada baju melayu lihat seperti yang laku oleh teruk ayam buta,Negative
kain baju melayu ni koyak dekat butang alit kawal mana,Negative
baju melayu yang saya beli ni reka bentuk dia gila tak tarik langsung,Negative
bahan kain ni memang leceh baju ni sejuk macam duduk dalam peti ais,Negative
khidmat langgan macam hantu saya e -mel tak dapat jawapan langsung,Negative
baju melayu yang saya beli kain nipis macam tisu tak berbaloi,Negative
saya bayar mahalmahal tetapi dapat baju melayu yang kawal alit cacat di mana,Negative
baju melayu ni ada stain macam tak cuci betul belum hantar,Negative
saya bayar untuk warna adat tetapi yang sampai warna t syak lawan sungguh kecewa,Negative
baju melayu ini sangat teruk,Negative
hantar lambat gila raya dah nak sampai baju belum sampai,Negative
saya beli unak anak tetapi saiz tak kena langsung terlalu besar,Negative
kain baju melayu ni tak tahan lama cepat je koyak,Negative
masa respons khidmat langgan macam siput slow sangat,Negative
saya beli untuk family semua baju tak padan,Negative
baju melayu ni macam tak ironfriendly susah nak kenal,Negative
baju melayu yang saya beli ni corak tak padan gambar dengan,Negative
khidmat langgan orang asyik abai je saya adu dorang buat tak dengar,Negative
reka bentuk pada baju melayu ni gila tak jauh ikut trend langsung,Negative
baju melayu yang saya dapat ada bau pelik seolaholah tak cuci betulbetul,Negative
khidmat langgan orang tak responsif langsung saya panggil dan e -mel banyak kali tak dapat response,Negative
baju melayu yang saya dapat lepas basuh warna sudah jadi tak sekata lowquality dye guna,Negative
ku pesan warna khusus tetapi baju melayu yang sampai warna lain betul serius,Negative
kain baju melayu ni scratchy gila saya pakai rasa macam nak gatal je,Negative
baju melayu ni jadi meh kain tak sedap langsung dah macam plastik,Negative
laman web orang keliru gila macam masuk maze nak cari baju,Negative
baju melayu yang saya beli ni jelek sangat tak boleh pakai,Negative
kain baju melayu ni macam koyak koyak sangat kecewa,Negative
khidmat langgan macam takda profesionalisme langsung,Negative
baju melayu yang saya dapat warna sangat dari tak sama langsung dengan laman web,Negative
hantar lambat gila sampai rumah dah tak sabarsabar tetapi takde jugak,Negative
baju kurta yang saya beli tu warna dia tak sama macam dalam gambar tipu,Negative
khidmat langgan dorang abai adu saya bagi maklum balas takde tindak langsung,Negative
baju melayu yang saya beli ni gatal gila saya pakai rasa nak gatal je terus,Negative
laman web orang perlahan macam siput nak layar pun jadi malas,Negative
saya bayar untuk express hantar tetapi baju melayu sampai lewat gila bukan express langsung,Negative
baju melayu ni sangat loose tak padan carta saiz dengan,Negative
baju senget ukur tak sama poslaju lambat hantar barang dekat 10hari baru sampai baju plk ade kesan kotor so bad rugi duit saya ini,Negative
baju melayu yang saya beli ni ada hole kecil saya kecewa gila,Negative
baju melayu yang saya beli ni ada noda alit lubang tak padan dengan harga,Negative
khidmat langgan dorang tongka etika saya adu dorang buat tak endah,Negative
terima kasih sellerpenghantan pantas kilatberdesup sampai kain bestsaiz ngamselesa itu mesti warna pon cantikcutting pon cantik terbaikkkk,Positive
lmbt sikit la kain pon tak bpe bagus sgt ni apa yang moden nya entah baju besah sgt ni wey,Negative
hantar laju bahan kain pun sejuk jahit kemas puas hati,Positive
alhamdulillah kain bagus saiz ngam2 hantar pun cepat suka sgt,Positive
khidmat bassssss cepat betul sampai bahan takat ok la kena dgn harga baloi2 kale saiz suma ok thorbaik,Positive
dah terima order xl tetapi biasa dapat xl slimfit warna pun tidak berapa krim lebih kpd cahaya kuning,Positive
paksa bagi je sbb ade sikit kotor kt bhgian cerut pinggang seluae tetapi seluruh okay je ngn ngn saiz kalau ikut size chart yang beri beri,Positive
pada baju ada warna merah cuba basih tidak hilang kesan merah tu,Neutral
sedikit warna berbeza dari gambar dan saiz punya moden dan potong macam yang biasa,Negative
warna nude kita minta warna lain yang sampai lupa tu takde butang kata ada percuma butang sangat kecewa,Negative
tolak ikut saiz yang saya nak,Positive
ukur tak sama saiz besar,Negative
